row_id,prompt_family,owner,model_key,config_label,ruleset,source_text,reference_text,generated_text,sari,bertscore_f1,rougeL_f,compression_ratio_eval,exact_copy,system_family,system_name,bleu,rouge1_f,rouge2_f,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,inflesz_pred,inflesz_src,inflesz_delta,sentence_splits,levenshtein_similarity,additions_proportion,deletions_proportion,score_cualitativo_1_5,score_cualitativo_100,score_fidelidad,score_fluidez,score_estructura,score_numeros
550,fine-tuning,lora,llama3,final_adapter,,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",8.704453441295545,0.8591127991676331,0.6153846153846154,1.0,1,lora,lora_llama3,,,,,,,,,,,,,,,,,,,
571,fine-tuning,lora,llama3,final_adapter,,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:",Clientes y proveedores intervienen en las importancias y exportaciones. También lo hacen las instituciones estatales y los banco como se indica a continuación:,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, como se indica en el siguiente recuadro:",17.6594585969586,0.8179330229759216,0.3461538461538461,0.9629629629629628,0,lora,lora_llama3,,,,,,,,,,,,,,,,,,,
885,fine-tuning,lora,llama3,final_adapter,,"El robo de identidad ocurre cuando su información personal, tal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.","El robo de identidad ocurre cuando su información personal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.",El robo de identidad ocurre cuando su información personal se usa sin su conocimiento para cometer un fraude o robo.,33.65962254120148,0.908835768699646,0.7017543859649122,0.6060606060606061,0,lora,lora_llama3,,,,,,,,,,,,,,,,,,,
1193,fine-tuning,lora,llama3,final_adapter,,"Los sueños de los niños tienen una gran variedad que va desde Tarzán hasta el Agente 007, pasando por Superman.",Los sueños de los niños son variados y van desde Tarzán hasta el Agente 007 y Superman.,Los sueños de los niños tienen una gran variedad.,33.402880603042135,0.8040059208869934,0.4516129032258064,0.45,0,lora,lora_llama3,,,,,,,,,,,,,,,,,,,
1391,fine-tuning,lora,llama3,final_adapter,,Expresiones como soborno y cohecho se refieren a ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,Expresiones como soborno y cohecho se refieren a delitos vinculados a comprar la voluntad de alguien para provecho personal.,Expresiones como soborno y cohecho se refieren a ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,21.64767422120363,0.9581913352012634,0.761904761904762,1.0,1,lora,lora_llama3,,,,,,,,,,,,,,,,,,,
1399,fine-tuning,lora,llama3,final_adapter,,"DIRECCIÓN DE PRESUPUESTO (DIPRES): ""formula y lleva el control presupuestario de la nación.""",DIRECCIÓN DE PRESUPUESTO: formula y lleva el control presupuestario de la nación.,La Dirección de Presupuesto formula y lleva el control presupuestario de la nación.,86.03174603174604,0.8006953001022339,0.9655172413793104,1.0,0,lora,lora_llama3,,,,,,,,,,,,,,,,,,,
1636,fine-tuning,lora,llama3,final_adapter,,"Interés compuesto: Es la suma del capital y el interés acumulado, que se va multiplicando según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.",El interés compuesto es la suma del capital y el interés acumulado. La tasa de interés es el porcentaje aplicado a un préstamo o inversión realizada.,El interés compuesto es la suma del capital y el interés acumulado. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.,71.41918732851926,0.9840890169143676,0.9375,0.8,0,lora,lora_llama3,,,,,,,,,,,,,,,,,,,
1740,fine-tuning,lora,llama3,final_adapter,,La producción en un país se realiza mediante lo que se conoce como factores de producción y de los cuales nos ocuparemos en detalle más adelante.,A través de los factores de producción se realiza la producción en un país. Más adelante nos ocuparemos en detalle de estos factores.,La producción en un país se realiza mediante los factores de producción. Estos se ocuparán en detalle más adelante.,54.436120997527794,0.8736738562583923,0.4615384615384615,0.7307692307692307,0,lora,lora_llama3,,,,,,,,,,,,,,,,,,,
1742,fine-tuning,lora,llama3,final_adapter,,"A pesar de que algunos critican al intermediario, se necesita a este individuo en la economía.","Aunque algunas personas critican al intermediario, este individuo es necesario en la economía.","Algunos critican al intermediario, pero se necesita a este individuo en la economía.",37.5,0.901409149169922,0.6428571428571429,0.8125,0,lora,lora_llama3,,,,,,,,,,,,,,,,,,,
1790,fine-tuning,lora,llama3,final_adapter,,El impuesto a los réditos es también un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a las utilidades también es un buen método para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a los réditos es un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,43.50649350649351,0.946150541305542,0.7826086956521738,0.9545454545454546,0,lora,lora_llama3,,,,,,,,,,,,,,,,,,,
