sample_id,idFinal,grupo,motivo,model_key,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,source_text,reference_text,generated_text,sari,bertscore_f1,rougeL_f,compression_ratio_eval,exact_copy
2088,1872_LibroBAC.pdf,A_cortos,"Muy corto, sustitución léxica clara.",llama3,0.2,0.85,1.05,256.0,La comunidad humana más antigua ha sido denominada horda primitiva.,La comunidad humana más antigua se llamó tribu.,La comunidad humana más antigua se llama horda primitiva.,67.76094276094277,0.9127476811408997,0.7368421052631577,0.9,0
2976,881_LibroNEFE_Sincopyright.pdf,A_cortos,Corto con dinero/cantidad.,llama3,0.2,0.85,1.05,256.0,"Prueba a poner en un sobre o frasco $1 por día, más las monedas del cambio.",Pon en un sobre un dólar diario más las monedas del vuelto.,Prueba a guardar $1 al día y también las monedas de cambio en un sobre o frasco.,35.479020500572226,0.7802696228027344,0.18181818181818182,1.0625,0
3430,2692_LibroUide_Sincopyright.pdf,A_cortos,Frase conceptual simple de negocios.,llama3,0.2,0.85,1.05,256.0,Uno de los problemas más importantes en los negocios es la asignación de precios a los productos.,Asignar precios a los productos es un problema importante en las empresas.,La asignación de precios a los productos es un problema importante en los negocios.,66.08908050079474,0.930296778678894,0.6666666666666665,0.8235294117647058,0
3679,829_LibroUAC_Sincopyright.pdf,A_cortos,Corto con número e IVA.,llama3,0.2,0.85,1.05,256.0,"El resultado será 190, o sea, el IVA del kilo de pan es de $190.","El resultado será ciento noventa. Es decir, el impuesto al valor agregado del kilo de pan son ciento noventa pesos.",El IVA del kilo de pan es de $190.,32.49112501829893,0.7517940998077393,0.3448275862068966,0.6,0
3145,1045_LibroUide_Sincopyright.pdf,A_cortos,Corto con proporción financiera.,llama3,0.2,0.85,1.05,256.0,"Por cada $100 facturados, la compañía gasta $2.20 en intereses.",La empresa gasta dos dólares con veinte centavos por cada cien dólares facturados.,"Por cada $100 vendidos, la empresa gasta $2.20 en intereses.",29.027777777777775,0.7739971876144409,0.23076923076923075,1.0,0
507,562_LibroUAC_Sincopyright.pdf,B_medianos,Porcentajes y rentabilidad.,llama3,0.2,0.85,1.05,256.0,"En general, se dice que la rentabilidad normal de una inversión en países desarrollados fluctúa, en promedio, entre el 6 % y el 8 % anual.","Generalmente, la rentabilidad normal de una inversión en países desarrollados varía entre el seis por ciento y el ocho por ciento anual.",La rentabilidad normal de una inversión en países desarrollados varía entre el 6% y el 8% anual.,60.98362507805232,0.9212573170661926,0.7999999999999999,0.7083333333333334,0
1756,5100_LibroBAC.pdf,B_medianos,Redacción abstracta/institucional.,llama3,0.2,0.85,1.05,256.0,En virtud de estas y otras reflexiones fue que se diseñó este capítulo en el marco del Libro Maestro de la cual forma parte sustantiva.,Debido a estas y otras reflexiones se diseñó este capítulo que forma parte fundamental del presente libro maestro de educación financiera.,Este dinero es para ti.,28.576764216632757,0.633102297782898,0.07142857142857142,0.2,0
3093,875_LibroUide_Sincopyright.pdf,B_medianos,Definición contable.,llama3,0.2,0.85,1.05,256.0,"Las cuentas de activo reflejan aquello que posee la organización, independientemente de cómo se haya financiado.",Las cuentas de activo evidencian las pertenencias de la empresa. No importa cómo se financiaron.,"Las cuentas de activo muestran lo que una organización tiene, sin importar cómo lo ha obtenido.",59.61199294532628,0.8207595944404602,0.35294117647058826,1.0,0
3192,1202_LibroUide_Sincopyright.pdf,B_medianos,"Relación de pasivo/activo, útil para precisión.",llama3,0.2,0.85,1.05,256.0,"Por cada dólar de pasivo corriente, la compañía cuenta con 93 centavos de dólar en activos corrientes súper líquidos.",La empresa tiene noventa y tres centavos de dólar en activos corrientes súper líquidos por dólar de pasivo corriente.,"Por cada dólar de deuda corriente, la empresa tiene 93 centavos de dólar en activos líquidos.",43.72582794779591,0.8527303338050842,0.5238095238095238,0.8421052631578947,0
3525,230_LibroUAC_Sincopyright.pdf,B_medianos,Dato económico con cifra.,llama3,0.2,0.85,1.05,256.0,"Posee la renta per cápita más alta de Latinoamérica, con alrededor de US$25.000 por habitante (según datos de 2019).",Tiene la renta per cápita más alta de Latinoamérica. Con casi veinticinco mil dólares estadounidenses por habitante.,"La renta per cápita más alta en Latinoamérica es de aproximadamente $25.000 por persona, según datos de 2019.",46.62328731294249,0.7777109146118164,0.5,0.9047619047619048,0
3627,725_LibroUAC_Sincopyright.pdf,C_estructurales,Explicación con fórmula verbal.,llama3,0.2,0.85,1.05,256.0,Muestra lo que la empresa gana o pierde en un período y explica mediante la fórmula de «ingresos  (costos + gastos)» cómo se ha producido ese resultado.,Presenta las ganancias o pérdidas de la empresa en un período. Y explica cómo se dio ese resultado.,"La empresa gana o pierde dinero en un período y esto se puede explicar mediante la fórmula ""ingresos - (costos + gastos)"".",34.03436891372794,0.7644954919815063,0.37209302325581395,0.7692307692307693,0
3206,1255_LibroUide_Sincopyright.pdf,C_estructurales,Dos conceptos técnicos en una sola oración.,llama3,0.2,0.85,1.05,256.0,"Así como el estado de resultados se orienta a mostrar la solvencia de la operación, el EFE se orienta a analizar la liquidez de la misma (Ross, Westerfield, & Bradford, 2018).",El estado de resultados evidencia la solvencia de la operación. El estado de flujo de efectivo analiza la liquidez de la operación.,El EFE (efectivo financiero) analiza la liquidez de una operación para determinar su solvencia.,43.318701559209025,0.7793001532554626,0.4102564102564102,0.4666666666666667,0
329,17510_LibroBAC.pdf,C_estructurales,Definición tipo glosario.,llama3,0.2,0.85,1.05,256.0,"Arancel: tarifa oficial que determina los derechos que se deben pagar en varios ramos, como el de costas judiciales, aduanas, ferrocarriles, etc. Tasa, valoración, norma, ley.","El arancel es una tarifa oficial y determina los derechos a pagar en varios sectores, como costas judiciales, aduanas, ferrocarriles, entre otros. También se le llama tasa, valoración, norma o ley.","Arancel es una tarifa oficial que se cobra por ciertos servicios o actividades, como costas judiciales, aduanas o ferrocarriles.",45.27185300597876,0.8451959490776062,0.38461538461538464,0.7307692307692307,0
3481,130_LibroUAC_Sincopyright.pdf,C_estructurales,Evolución temporal con cifras.,llama3,0.2,0.85,1.05,256.0,"En sus comienzos cada moneda valía alrededor de $300, a fines de 2019 llega a $15.000 y continúa con alzas y bajas.","Al inicio, cada moneda valía casi trescientos pesos. A fines de dos mil diecinueve llegó a quince mil pesos. Sigue con alzas y bajas.","En un principio, cada moneda valía alrededor de $300. A fines de 2019, su valor aumentó a $15.000 y siguió fluctuando.",35.27575977580758,0.7445248365402222,0.37499999999999994,0.9565217391304348,0
3703,884_LibroUAC_Sincopyright.pdf,C_estructurales,Ley + fechas + porcentaje.,llama3,0.2,0.85,1.05,256.0,"La Ley N.133 de febrero 2019 indica que la tasa de retención aumentará progresivamente, de 10 % en 2018 hasta llegar a 17 % en 2028.",Según la Ley ciento treinta y tres de febrero dos mil diecinueve indica que la tasa de retención aumentará progresivamente. De diez por ciento en dos mil dieciocho hasta llegar a diecisiete en dos mil veintiocho.,"La tasa de retención aumentará gradualmente, pasando de 10% en 2018 a 17% en 2028.",32.31585200894664,0.7022345662117004,0.37037037037037035,0.6,0
