row_id,system_name,system_family,source_text,reference_text,generated_text,criterio_fidelidad,peso_fidelidad,score_fidelidad,weighted_fidelidad,criterio_comprension,peso_comprension,score_comprension,weighted_comprension,criterio_fluidez,peso_fluidez,score_fluidez,weighted_fluidez,criterio_tono,peso_tono,score_tono,weighted_tono,criterio_lexico,peso_lexico,score_lexico,weighted_lexico,criterio_estructura,peso_estructura,score_estructura,weighted_estructura,criterio_numeros,peso_numeros,score_numeros,weighted_numeros,score_total_100,escala_recordatorio,comentarios_evaluador,evaluador,fecha_evaluacion
550,few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,Sin motivación y sin incentivos no se puede trabajar bien en un ambiente competitivo.,"Conserva ideas centrales, datos clave y relaciones del original.",30,,,"Se entiende al primer vistazo, sin ambigüedades importantes.",25,,,"Suena natural, con buena gramática y cohesión.",15,,,"Tono cercano, educativo, neutral y apropiado para el público.",10,,,"Palabras comunes, oraciones cortas, sin tecnicismos innecesarios.",10,,,"Orden lógico, párrafos manejables, presentación clara.",5,,,Cifras con contexto y simplificadas correctamente.,5,,,,"1, 2, 3, 4 o 5",,,
550,few-shot_nancy_llama3_llama3_cfg_2_R2,prompting,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,Sin motivación y sin incentivos no se puede ser exitoso en un ambiente competitivo.,"Conserva ideas centrales, datos clave y relaciones del original.",30,,,"Se entiende al primer vistazo, sin ambigüedades importantes.",25,,,"Suena natural, con buena gramática y cohesión.",15,,,"Tono cercano, educativo, neutral y apropiado para el público.",10,,,"Palabras comunes, oraciones cortas, sin tecnicismos innecesarios.",10,,,"Orden lógico, párrafos manejables, presentación clara.",5,,,Cifras con contexto y simplificadas correctamente.,5,,,,"1, 2, 3, 4 o 5",,,
550,lora_llama3,lora,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.","Conserva ideas centrales, datos clave y relaciones del original.",30,,,"Se entiende al primer vistazo, sin ambigüedades importantes.",25,,,"Suena natural, con buena gramática y cohesión.",15,,,"Tono cercano, educativo, neutral y apropiado para el público.",10,,,"Palabras comunes, oraciones cortas, sin tecnicismos innecesarios.",10,,,"Orden lógico, párrafos manejables, presentación clara.",5,,,Cifras con contexto y simplificadas correctamente.,5,,,,"1, 2, 3, 4 o 5",,,
550,lora_mistral,lora,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.","Conserva ideas centrales, datos clave y relaciones del original.",30,,,"Se entiende al primer vistazo, sin ambigüedades importantes.",25,,,"Suena natural, con buena gramática y cohesión.",15,,,"Tono cercano, educativo, neutral y apropiado para el público.",10,,,"Palabras comunes, oraciones cortas, sin tecnicismos innecesarios.",10,,,"Orden lógico, párrafos manejables, presentación clara.",5,,,Cifras con contexto y simplificadas correctamente.,5,,,,"1, 2, 3, 4 o 5",,,
550,zero-shot_hariel_mistral_hariel_mistral_cfg_1_R4,prompting,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,"No tiene incentivos ni motivación. Esto es importante en entornos competitivos.

(Translation: He has no incentives nor motivation. This is important in competitive environments.)

Simplified version:
He doesn't have incentives or motivation. This matters in competitive situations.","Conserva ideas centrales, datos clave y relaciones del original.",30,,,"Se entiende al primer vistazo, sin ambigüedades importantes.",25,,,"Suena natural, con buena gramática y cohesión.",15,,,"Tono cercano, educativo, neutral y apropiado para el público.",10,,,"Palabras comunes, oraciones cortas, sin tecnicismos innecesarios.",10,,,"Orden lógico, párrafos manejables, presentación clara.",5,,,Cifras con contexto y simplificadas correctamente.,5,,,,"1, 2, 3, 4 o 5",,,
550,zero-shot_nancy_mistral_nancy_mistral_cfg_2_R4,prompting,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,"No tiene incentivos ni motivation, que son importantes en entornos competitivos.

(Translation: He has no incentives nor motivation, which are essential in competitive environments.)

Simplified version:
He lacks incentives and motivation, key elements in competitive situations.","Conserva ideas centrales, datos clave y relaciones del original.",30,,,"Se entiende al primer vistazo, sin ambigüedades importantes.",25,,,"Suena natural, con buena gramática y cohesión.",15,,,"Tono cercano, educativo, neutral y apropiado para el público.",10,,,"Palabras comunes, oraciones cortas, sin tecnicismos innecesarios.",10,,,"Orden lógico, párrafos manejables, presentación clara.",5,,,Cifras con contexto y simplificadas correctamente.,5,,,,"1, 2, 3, 4 o 5",,,
571,few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:",Clientes y proveedores intervienen en las importancias y exportaciones. También lo hacen las instituciones estatales y los banco como se indica a continuación:,"En la importación y exportación, también participan instituciones gubernamentales y bancos, como se muestra a continuación.","Conserva ideas centrales, datos clave y relaciones del original.",30,,,"Se entiende al primer vistazo, sin ambigüedades importantes.",25,,,"Suena natural, con buena gramática y cohesión.",15,,,"Tono cercano, educativo, neutral y apropiado para el público.",10,,,"Palabras comunes, oraciones cortas, sin tecnicismos innecesarios.",10,,,"Orden lógico, párrafos manejables, presentación clara.",5,,,Cifras con contexto y simplificadas correctamente.,5,,,,"1, 2, 3, 4 o 5",,,
571,few-shot_nancy_llama3_llama3_cfg_2_R2,prompting,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:",Clientes y proveedores intervienen en las importancias y exportaciones. También lo hacen las instituciones estatales y los banco como se indica a continuación:,"En la importación y exportación, intervienen no solo clientes y proveedores sino también instituciones del Estado y bancos.","Conserva ideas centrales, datos clave y relaciones del original.",30,,,"Se entiende al primer vistazo, sin ambigüedades importantes.",25,,,"Suena natural, con buena gramática y cohesión.",15,,,"Tono cercano, educativo, neutral y apropiado para el público.",10,,,"Palabras comunes, oraciones cortas, sin tecnicismos innecesarios.",10,,,"Orden lógico, párrafos manejables, presentación clara.",5,,,Cifras con contexto y simplificadas correctamente.,5,,,,"1, 2, 3, 4 o 5",,,
571,lora_llama3,lora,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:",Clientes y proveedores intervienen en las importancias y exportaciones. También lo hacen las instituciones estatales y los banco como se indica a continuación:,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, como se indica en el siguiente recuadro:","Conserva ideas centrales, datos clave y relaciones del original.",30,,,"Se entiende al primer vistazo, sin ambigüedades importantes.",25,,,"Suena natural, con buena gramática y cohesión.",15,,,"Tono cercano, educativo, neutral y apropiado para el público.",10,,,"Palabras comunes, oraciones cortas, sin tecnicismos innecesarios.",10,,,"Orden lógico, párrafos manejables, presentación clara.",5,,,Cifras con contexto y simplificadas correctamente.,5,,,,"1, 2, 3, 4 o 5",,,
571,lora_mistral,lora,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:",Clientes y proveedores intervienen en las importancias y exportaciones. También lo hacen las instituciones estatales y los banco como se indica a continuación:,"En los procesos de importaciones y exportaciones intervienen clientes y proveedores, instituciones del Estado y los bancos.","Conserva ideas centrales, datos clave y relaciones del original.",30,,,"Se entiende al primer vistazo, sin ambigüedades importantes.",25,,,"Suena natural, con buena gramática y cohesión.",15,,,"Tono cercano, educativo, neutral y apropiado para el público.",10,,,"Palabras comunes, oraciones cortas, sin tecnicismos innecesarios.",10,,,"Orden lógico, párrafos manejables, presentación clara.",5,,,Cifras con contexto y simplificadas correctamente.,5,,,,"1, 2, 3, 4 o 5",,,
571,zero-shot_hariel_mistral_hariel_mistral_cfg_1_R4,prompting,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:",Clientes y proveedores intervienen en las importancias y exportaciones. También lo hacen las instituciones estatales y los banco como se indica a continuación:,"En importaciones y exportaciones intervenes además de clientes y proveedores, instituciones gubernamentales y bancos (detallado a continuación):

(Diagrama o tabla siguiente)

Instituciones gubernamentales: Aduanas, Banco Central, Ministerio de Comercio.
Bancos: Banco de Descuento, Banco de la Exportación.","Conserva ideas centrales, datos clave y relaciones del original.",30,,,"Se entiende al primer vistazo, sin ambigüedades importantes.",25,,,"Suena natural, con buena gramática y cohesión.",15,,,"Tono cercano, educativo, neutral y apropiado para el público.",10,,,"Palabras comunes, oraciones cortas, sin tecnicismos innecesarios.",10,,,"Orden lógico, párrafos manejables, presentación clara.",5,,,Cifras con contexto y simplificadas correctamente.,5,,,,"1, 2, 3, 4 o 5",,,
