sample36_id,texto_eval_id,system_name,source_text,reference_text,generated_text,base_system_name,generated_text_base,generated_text_refined,used_fallback_base,self_refine_model_key,self_refine_model_runtime,inference_seconds,src_words,pred_words,ref_words,src_sentences,pred_sentences,ref_sentences,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,inflesz_pred,inflesz_src,inflesz_delta,rouge1_f,rouge2_f,rougeL_f,bertscore_f1,sbert_similarity
1,1,lora_llama3_self_refine_llama3,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,"No tiene incentivos ni motivación, lo que es fundamental en ambientes competitivos.",lora_llama3,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.","No tiene incentivos ni motivación, lo que es fundamental en ambientes competitivos.",False,llama3,llama3:8b,0.9252181053161621,12,12,12,1,1,2,31.202530985812718,8.493098745313148,58.34,48.34,10.0,1.0,0,0.7719298245614035,0,0.4166666666666667,0.4166666666666667,49.468333333333334,39.08500000000001,10.383333333333326,0.38461538461538464,0.25,0.38461538461538464,,
2,2,lora_llama3_self_refine_llama3,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:",Clientes y proveedores intervienen en las importancias y exportaciones. También lo hacen las instituciones estatales y los banco como se indica a continuación:,"En los procesos de importaciones y exportaciones intervienen clientes y proveedores, así como instituciones del Estado y bancos.",lora_llama3,"En los procesos de importaciones y exportaciones intervienen clientes y proveedores, instituciones del Estado y los bancos.","En los procesos de importaciones y exportaciones intervienen clientes y proveedores, así como instituciones del Estado y bancos.",False,llama3,llama3:8b,1.4514083862304688,27,18,23,1,1,2,36.049732131229455,5.3031648311152395,54.50666666666668,69.72888888888889,-15.222222222222207,0.6666666666666666,0,0.7687296416938111,0,0.05555555555555555,0.37037037037037035,36.54611111111112,41.39055555555555,-4.844444444444434,0.5116279069767442,0.14634146341463414,0.23255813953488372,,
3,3,lora_llama3_self_refine_llama3,"El robo de identidad ocurre cuando su información personal, tal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.","El robo de identidad ocurre cuando su información personal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.",El robo de identidad ocurre cuando se usa su información personal sin su conocimiento para cometer un fraude o robo.,lora_llama3,El robo de identidad ocurre cuando su información personal se usa sin su conocimiento para cometer un fraude o robo.,El robo de identidad ocurre cuando se usa su información personal sin su conocimiento para cometer un fraude o robo.,False,llama3,llama3:8b,1.499316930770874,33,20,32,1,1,1,30.066494419984966,37.66386018097922,75.74000000000001,81.9309090909091,-6.190909090909088,0.6060606060606061,0,0.7171052631578947,0,0.05,0.42424242424242425,56.004999999999995,47.34712121212122,8.657878787878772,0.7017543859649122,0.5818181818181818,0.6666666666666666,,
4,4,lora_llama3_self_refine_llama3,"Los sueños de los niños tienen una gran variedad que va desde Tarzán hasta el Agente 007, pasando por Superman.",Los sueños de los niños son variados y van desde Tarzán hasta el Agente 007 y Superman.,"Los sueños de los niños tienen una gran variedad. Algunos son Tarzán, Superman o el Agente 007.",lora_llama3,"Los sueños de los niños tienen una gran variedad. Algunos son Tarzán, el Agente 007 o Superman.","Los sueños de los niños tienen una gran variedad. Algunos son Tarzán, Superman o el Agente 007.",False,llama3,llama3:8b,1.475905418395996,20,17,17,1,2,1,43.09785318980721,26.52951833482444,92.48705882352941,99.74000000000001,-7.2529411764706,0.85,1,0.7378640776699029,0,0.17647058823529413,0.3,92.05852941176472,80.92500000000001,11.133529411764712,0.7,0.47368421052631576,0.65,,
5,5,lora_llama3_self_refine_llama3,Expresiones como soborno y cohecho se refieren a ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,Expresiones como soborno y cohecho se refieren a delitos vinculados a comprar la voluntad de alguien para provecho personal.,Expresiones como soborno y cohecho son ilícitos que involucran comprar la voluntad de alguien para beneficio personal.,lora_llama3,Expresiones como soborno y cohecho son ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,Expresiones como soborno y cohecho son ilícitos que involucran comprar la voluntad de alguien para beneficio personal.,False,llama3,llama3:8b,1.5258102416992188,22,17,19,1,1,1,58.08321280177264,44.644168609374304,56.134117647058844,68.56727272727274,-12.433155080213893,0.7727272727272727,0,0.7509881422924901,0,0.35294117647058826,0.5,39.58205882352942,46.07590909090911,-6.493850267379685,0.6486486486486486,0.5142857142857143,0.6486486486486486,,
6,6,lora_llama3_self_refine_llama3,"DIRECCIÓN DE PRESUPUESTO (DIPRES): ""formula y lleva el control presupuestario de la nación.""",DIRECCIÓN DE PRESUPUESTO: formula y lleva el control presupuestario de la nación.,La Dirección de Presupuesto formula y controla el presupuesto nacional.,lora_llama3,La Dirección de Presupuesto formula y lleva el control presupuestario de la nación.,La Dirección de Presupuesto formula y controla el presupuesto nacional.,False,llama3,llama3:8b,0.9587697982788086,13,10,12,1,1,1,33.365620490620486,7.175377580688497,52.64,69.76307692307694,-17.123076923076937,0.7692307692307693,0,0.5030674846625767,0,0.3,0.46153846153846156,47.315000000000026,59.65038461538464,-12.335384615384612,0.64,0.4347826086956522,0.56,,
7,7,lora_llama3_self_refine_llama3,"Interés compuesto: Es la suma del capital y el interés acumulado, que se va multiplicando según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.",El interés compuesto es la suma del capital y el interés acumulado. La tasa de interés es el porcentaje aplicado a un préstamo o inversión realizada.,El interés compuesto es la suma del capital y el interés acumulado. Se multiplica según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión.,lora_llama3,El interés compuesto es la suma del capital y el interés acumulado. Se multiplica según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.,El interés compuesto es la suma del capital y el interés acumulado. Se multiplica según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión.,False,llama3,llama3:8b,2.4559426307678223,35,33,26,2,3,2,56.503024616253924,61.582054643272905,77.56727272727272,77.58285714285716,-0.015584415584442013,0.9428571428571428,1,0.9183673469387755,0,0.06060606060606061,0.11428571428571428,71.23500000000001,61.17500000000004,10.059999999999974,0.8285714285714285,0.7647058823529413,0.8285714285714285,,
8,8,lora_llama3_self_refine_llama3,La producción en un país se realiza mediante lo que se conoce como factores de producción y de los cuales nos ocuparemos en detalle más adelante.,A través de los factores de producción se realiza la producción en un país. Más adelante nos ocuparemos en detalle de estos factores.,La producción en un país se hace con los factores de producción.,lora_llama3,La producción en un país se realiza mediante los factores de producción.,La producción en un país se hace con los factores de producción.,False,llama3,llama3:8b,0.9049053192138672,26,12,23,1,1,2,53.08651385108512,16.247770439285308,103.34000000000002,89.84000000000002,13.5,0.46153846153846156,0,0.5645933014354066,0,0.16666666666666666,0.6153846153846154,96.19333333333336,63.42346153846155,32.769871794871804,0.6046511627906976,0.4878048780487805,0.37209302325581395,,
9,9,lora_llama3_self_refine_llama3,"A pesar de que algunos critican al intermediario, se necesita a este individuo en la economía.","Aunque algunas personas critican al intermediario, este individuo es necesario en la economía.","A pesar de las críticas, el intermediario es necesario en la economía.",lora_llama3,"A pesar de que algunos critican al intermediario, se necesita a este individuo en la economía.","A pesar de las críticas, el intermediario es necesario en la economía.",False,llama3,llama3:8b,1.1096882820129395,16,12,13,1,1,1,55.14195048921571,35.00482776497398,73.34,69.215,4.125,0.75,0,0.7560975609756098,0,0.4166666666666667,0.5625,65.04333333333335,54.55375000000001,10.489583333333343,0.5,0.38461538461538464,0.5,,
10,10,lora_llama3_self_refine_llama3,El impuesto a los réditos es también un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a las utilidades también es un buen método para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a los réditos es un buen instrumento para conocer la cantidad de rentas y riqueza nacional.,lora_llama3,El impuesto a los réditos es un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a los réditos es un buen instrumento para conocer la cantidad de rentas y riqueza nacional.,False,llama3,llama3:8b,1.3896982669830322,22,18,22,1,1,1,22.34142381717201,16.99178313286162,84.50666666666667,95.84,-11.333333333333329,0.8181818181818182,0,0.8687782805429864,0,0.05555555555555555,0.22727272727272727,67.69611111111112,74.39409090909092,-6.697979797979798,0.6511627906976745,0.34146341463414637,0.6046511627906976,,
