sample36_id,texto_eval_id,system_name,system_family,source_text,reference_text,generated_text,version,src_words,pred_words,ref_words,src_sentences,pred_sentences,ref_sentences,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,inflesz_pred,inflesz_src,inflesz_delta,rouge1_f,rouge2_f,rougeL_f,bertscore_f1,sbert_similarity
1,1,lora_llama3,lora,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",base,12,12,12,1,1,2,9.18560606060606,10.571070857151541,48.34,48.34,0.0,1.0,0,1.0,1,0.0,0.0,39.08500000000001,39.08500000000001,0.0,0.6153846153846154,0.25,0.6153846153846154,0.8591129779815674,
2,2,lora_llama3,lora,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:",Clientes y proveedores intervienen en las importancias y exportaciones. También lo hacen las instituciones estatales y los banco como se indica a continuación:,"En los procesos de importaciones y exportaciones intervienen clientes y proveedores, instituciones del Estado y los bancos.",base,27,17,23,1,1,2,32.67477405635301,5.659447895798514,56.134117647058844,69.72888888888889,-13.594771241830045,0.6296296296296297,0,0.8079470198675497,0,0.0,0.37037037037037035,39.58205882352942,41.39055555555555,-1.8084967320261285,0.4761904761904762,0.2,0.28571428571428564,0.7978474497795105,
3,3,lora_llama3,lora,"El robo de identidad ocurre cuando su información personal, tal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.","El robo de identidad ocurre cuando su información personal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.",El robo de identidad ocurre cuando su información personal se usa sin su conocimiento para cometer un fraude o robo.,base,33,20,32,1,1,1,32.33080471524408,42.31846227698562,75.74000000000001,81.9309090909091,-6.190909090909088,0.6060606060606061,0,0.7631578947368421,0,0.05,0.42424242424242425,56.004999999999995,47.34712121212122,8.657878787878772,0.7017543859649122,0.6181818181818183,0.7017543859649122,0.908835768699646,
4,4,lora_llama3,lora,"Los sueños de los niños tienen una gran variedad que va desde Tarzán hasta el Agente 007, pasando por Superman.",Los sueños de los niños son variados y van desde Tarzán hasta el Agente 007 y Superman.,"Los sueños de los niños tienen una gran variedad. Algunos son Tarzán, el Agente 007 o Superman.",base,20,17,17,1,2,1,43.90593399788802,27.57185986366082,92.48705882352941,99.74000000000001,-7.2529411764706,0.85,1,0.8252427184466019,0,0.17647058823529413,0.3,92.05852941176472,80.92500000000001,11.133529411764712,0.7,0.47368421052631576,0.7,0.8810524344444275,
5,5,lora_llama3,lora,Expresiones como soborno y cohecho se refieren a ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,Expresiones como soborno y cohecho se refieren a delitos vinculados a comprar la voluntad de alguien para provecho personal.,Expresiones como soborno y cohecho son ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,base,22,20,19,1,1,1,23.925485988104583,36.39412530979475,66.74000000000001,68.56727272727274,-1.827272727272728,0.9090909090909091,0,0.9538461538461539,0,0.05,0.13636363636363635,46.660000000000025,46.07590909090911,0.5840909090909179,0.6500000000000001,0.4736842105263158,0.6500000000000001,0.9206438064575195,
6,6,lora_llama3,lora,"DIRECCIÓN DE PRESUPUESTO (DIPRES): ""formula y lleva el control presupuestario de la nación.""",DIRECCIÓN DE PRESUPUESTO: formula y lleva el control presupuestario de la nación.,La Dirección de Presupuesto formula y lleva el control presupuestario de la nación.,base,13,13,12,1,1,1,65.60044893378227,67.67781116542882,74.37846153846155,69.76307692307694,4.615384615384613,1.0,0,0.6857142857142857,0,0.07692307692307693,0.07692307692307693,64.44269230769231,59.65038461538464,4.7923076923076735,0.9655172413793104,0.962962962962963,0.9655172413793104,0.8006952404975891,
7,7,lora_llama3,lora,"Interés compuesto: Es la suma del capital y el interés acumulado, que se va multiplicando según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.",El interés compuesto es la suma del capital y el interés acumulado. La tasa de interés es el porcentaje aplicado a un préstamo o inversión realizada.,El interés compuesto es la suma del capital y el interés acumulado. Se multiplica según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.,base,35,34,26,2,3,2,60.230791528999326,64.95419684212207,74.31058823529413,77.58285714285716,-3.2722689075630313,0.9714285714285714,1,0.945273631840796,0,0.058823529411764705,0.08571428571428572,67.23696078431375,61.17500000000004,6.061960784313712,0.8450704225352113,0.7826086956521738,0.8450704225352113,0.9345226287841797,
8,8,lora_llama3,lora,La producción en un país se realiza mediante lo que se conoce como factores de producción y de los cuales nos ocuparemos en detalle más adelante.,A través de los factores de producción se realiza la producción en un país. Más adelante nos ocuparemos en detalle de estos factores.,La producción en un país se realiza mediante los factores de producción.,base,26,12,23,1,1,2,50.161484113097025,17.29333056214479,88.34000000000002,89.84000000000002,-1.5,0.46153846153846156,0,0.663594470046083,0,0.0,0.5384615384615384,80.61833333333335,63.42346153846155,17.1948717948718,0.6511627906976745,0.5365853658536585,0.37209302325581395,0.8263249397277832,
9,9,lora_llama3,lora,"A pesar de que algunos critican al intermediario, se necesita a este individuo en la economía.","Aunque algunas personas critican al intermediario, este individuo es necesario en la economía.","A pesar de que algunos critican al intermediario, se necesita a este individuo en la economía.",base,16,16,13,1,1,1,16.10760971055089,29.550432371218758,69.215,69.215,0.0,1.0,0,1.0,1,0.0,0.0,54.55375000000001,54.55375000000001,0.0,0.5806451612903226,0.41379310344827586,0.5806451612903226,0.9001113176345825,
10,10,lora_llama3,lora,El impuesto a los réditos es también un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a las utilidades también es un buen método para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a los réditos es un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,base,22,21,22,1,1,1,43.99022274022274,65.8198946244535,96.26857142857143,95.84,0.4285714285714306,0.9545454545454546,0,0.9649122807017544,0,0.0,0.045454545454545456,76.06833333333334,74.39409090909092,1.674242424242422,0.7826086956521738,0.6818181818181819,0.7826086956521738,0.9461506009101868,
