sample36_id,texto_eval_id,system_name,system_family,source_text,reference_text,generated_text,src_words,pred_words,ref_words,src_sentences,pred_sentences,ref_sentences,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,inflesz_pred,inflesz_src,inflesz_delta,rouge1_f,rouge2_f,rougeL_f,bertscore_f1,sbert_similarity,score_cualitativo_1_5,score_cualitativo_100,aplico_regla_cero,score_fidelidad,score_comprension,score_fluidez,score_lexico,score_tono,score_estructura,score_numeros,version
1,1,few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,Sin motivación y sin incentivos no se puede trabajar bien en un ambiente competitivo.,12,14,12,1,1,2,32.203641768859164,3.1251907639724417,75.26857142857142,48.34,26.928571428571416,1.1666666666666667,0,0.4855491329479768,0,0.7142857142857143,0.6666666666666666,63.785,39.08500000000001,24.69999999999999,0.2142857142857142,0.0769230769230769,0.1428571428571428,0.7448984384536743,,5.0,100.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
2,2,few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:",Clientes y proveedores intervienen en las importancias y exportaciones. También lo hacen las instituciones estatales y los banco como se indica a continuación:,"En la importación y exportación, también participan instituciones gubernamentales y bancos, como se muestra a continuación.",27,16,23,1,1,2,39.97843730580304,4.965501535546057,46.715,69.72888888888889,-23.01388888888889,0.5925925925925926,0,0.5165562913907285,0,0.5625,0.7407407407407407,31.191250000000025,41.39055555555555,-10.199305555555526,0.4888888888888889,0.186046511627907,0.4888888888888889,0.8147968053817749,,5.0,100.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
3,3,few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,"El robo de identidad ocurre cuando su información personal, tal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.","El robo de identidad ocurre cuando su información personal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.","El robo de identidad es cuando alguien utiliza tu información personal, como tu nombre y números de cuenta o cédula de identidad, sin tu permiso para hacer trucos malintencionados.",33,29,32,1,1,1,17.34147016684596,13.523511781977868,72.97793103448276,81.9309090909091,-8.952978056426332,0.8787878787878788,0,0.717391304347826,0,0.4137931034482758,0.4848484848484848,42.49362068965519,47.34712121212122,-4.853500522466035,0.5882352941176471,0.3333333333333333,0.5882352941176471,0.8541818857192993,,5.0,100.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
4,4,few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,"Los sueños de los niños tienen una gran variedad que va desde Tarzán hasta el Agente 007, pasando por Superman.",Los sueños de los niños son variados y van desde Tarzán hasta el Agente 007 y Superman.,"Los niños soñan con cosas como ser Tarzán, el Agente 007 o Superman.",20,13,17,1,1,1,39.35560966810967,11.326622904675611,102.07076923076924,99.74,2.3307692307692207,0.65,0,0.5363128491620112,0,0.4615384615384615,0.65,93.19653846153848,80.92500000000001,12.271538461538457,0.5,0.2941176470588235,0.5,0.842180609703064,,4.1,82.0,False,5.0,3.0,5.0,1.0,5.0,5.0,5.0,
5,5,few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,Expresiones como soborno y cohecho se refieren a ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,Expresiones como soborno y cohecho se refieren a delitos vinculados a comprar la voluntad de alguien para provecho personal.,"Expresiones como ""soborno"" y ""cohecho"" se refieren a actos ilegales que involucran comprar el apoyo o consentimiento de alguien para beneficio propio.",22,22,19,1,1,1,39.1025383507635,11.145671749607036,60.38545454545455,68.56727272727274,-8.181818181818187,1.0,0,0.5824561403508772,0,0.5454545454545454,0.5454545454545454,37.58045454545456,46.07590909090911,-8.49545454545455,0.5853658536585366,0.4615384615384615,0.5853658536585366,0.8959304094314575,,5.0,100.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
6,6,few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,"DIRECCIÓN DE PRESUPUESTO (DIPRES): ""formula y lleva el control presupuestario de la nación.""",DIRECCIÓN DE PRESUPUESTO: formula y lleva el control presupuestario de la nación.,La Dirección de Presupuesto es responsable de crear y supervisar los presupuestos del país.,13,14,12,1,1,1,31.316304894310008,3.458592114102736,79.55428571428571,69.76307692307694,9.791208791208774,1.0769230769230769,0,0.3497267759562841,0,0.5714285714285714,0.5384615384615384,68.23500000000001,59.65038461538464,8.584615384615375,0.4666666666666667,0.2142857142857142,0.3333333333333333,0.713970959186554,,5.0,100.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
7,7,few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,"Interés compuesto: Es la suma del capital y el interés acumulado, que se va multiplicando según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.",El interés compuesto es la suma del capital y el interés acumulado. La tasa de interés es el porcentaje aplicado a un préstamo o inversión realizada.,"El interés compuesto es la suma del capital y el interés acumulado, que crece según el tiempo convenido. La tasa de interés es el porcentaje aplicado a un préstamo o inversión.",35,31,26,2,2,2,75.09076652717003,71.14277287369607,78.32387096774195,77.58285714285716,0.7410138248847886,0.8857142857142857,0,0.8346456692913385,0,0.1935483870967742,0.2857142857142857,64.72532258064518,61.17500000000004,3.550322580645144,0.8823529411764706,0.8484848484848485,0.8823529411764706,0.9473791718482972,,5.0,100.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
8,8,few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,La producción en un país se realiza mediante lo que se conoce como factores de producción y de los cuales nos ocuparemos en detalle más adelante.,A través de los factores de producción se realiza la producción en un país. Más adelante nos ocuparemos en detalle de estos factores.,"La producción en un país se hace utilizando factores como capital, trabajo y recursos naturales.",26,15,23,1,1,2,44.70180945941595,10.285878714978704,64.04,89.84000000000002,-25.80000000000001,0.5769230769230769,0,0.5145228215767634,0,0.4,0.6538461538461539,50.6216666666667,63.42346153846155,-12.801794871794854,0.3999999999999999,0.2790697674418604,0.3555555555555555,0.7637315392494202,,4.3,86.0,False,5.0,3.0,5.0,5.0,5.0,3.0,5.0,
9,9,few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,"A pesar de que algunos critican al intermediario, se necesita a este individuo en la economía.","Aunque algunas personas critican al intermediario, este individuo es necesario en la economía.","Aunque algunos lo critiquen, el intermediario es necesario en la economía.",16,11,13,1,1,1,61.0302841198094,36.1122529183502,55.74909090909092,69.215,-13.465909090909086,0.6875,0,0.7261904761904762,0,0.5454545454545454,0.6875,48.58045454545456,54.55375000000001,-5.97329545454545,0.6153846153846153,0.4166666666666666,0.6153846153846153,0.9252060651779176,,5.0,100.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
10,10,few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,El impuesto a los réditos es también un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a las utilidades también es un buen método para conocer el monto de las rentas y de la riqueza nacional.,El impuesto sobre los intereses es una forma efectiva de medir el valor de las rentas y la riqueza del país.,22,21,22,1,1,1,32.652859592514766,15.450703561660948,96.26857142857143,95.84,0.4285714285714306,0.9545454545454546,0,0.584070796460177,0,0.4285714285714285,0.4545454545454545,76.06833333333334,74.39409090909092,1.674242424242422,0.4782608695652174,0.2272727272727272,0.4347826086956521,0.8752536177635193,,5.0,100.0,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
